Address,Price,Info,URL
"385 Sabal Way, Weston, FL 33326","$1,099,000","4 bds,4 ba,3,476 sqft- House for sale",https://www.zillow.com/homedetails/385-Sabal-Way-Weston-FL-33326/43144802_zpid/
"382 Lakeview Dr Apt 102, Weston, FL 33326","$235,000","2 bds,2 ba,1,256 sqft- Condo for sale",https://www.zillow.com/homedetails/382-Lakeview-Dr-APT-102-Weston-FL-33326/43135333_zpid/
"1116 Lavender Cir, Weston, FL 33327","$659,000","4 bds,4 ba,2,798 sqft- House for sale",https://www.zillow.com/homedetails/1116-Lavender-Cir-Weston-FL-33327/54596969_zpid/
"2196 Austin, Weston, FL 33326","$425,000","3 bds,2 ba,1,547 sqft- House for sale",https://www.zillow.com/homedetails/2196-Austin-Weston-FL-33326/43143883_zpid/
"16600 Sapphire Mnr, Weston, FL 33331","$565,000","4 bds,3 ba,2,196 sqft- House for sale",https://www.zillow.com/homedetails/16600-Sapphire-Mnr-Weston-FL-33331/43147622_zpid/
"16503 Diamond Pl, Weston, FL 33331","$625,000","4 bds,3 ba,2,737 sqft- House for sale",https://www.zillow.com/homedetails/16503-Diamond-Pl-Weston-FL-33331/43147502_zpid/
"838 Heritage Dr, Weston, FL 33326","$610,000","5 bds,4 ba,3,137 sqft- House for sale",https://www.zillow.com/homedetails/838-Heritage-Dr-Weston-FL-33326/43125874_zpid/
"1121 Golden Cane Dr, Weston, FL 33327","$442,500","3 bds,2 ba,1,552 sqft- House for sale",https://www.zillow.com/homedetails/1121-Golden-Cane-Dr-Weston-FL-33327/58443182_zpid/
"1096 Creekford Dr, Weston, FL 33326","$650,000","5 bds,3 ba,2,813 sqft- House for sale",https://www.zillow.com/homedetails/1096-Creekford-Dr-Weston-FL-33326/43137498_zpid/
"351 Fairway Cir #61, Weston, FL 33326","$289,900","2 bds,2 ba,1,490 sqft- House for sale",https://www.zillow.com/homedetails/351-Fairway-Cir-61-Weston-FL-33326/43138237_zpid/
"16610 Sunset Way, Weston, FL 33326","$2,999,900","6 bds,9 ba,7,917 sqft- New construction",https://www.zillow.com/homedetails/16610-Sunset-Way-Weston-FL-33326/161770233_zpid/
"2723 Oakbrook Dr, Weston, FL 33332","$775,000","4 bds,4 ba,2,839 sqft- House for sale",https://www.zillow.com/homedetails/2723-Oakbrook-Dr-Weston-FL-33332/43128955_zpid/
"1528 Salerno Cir, Weston, FL 33327","$465,000","4 bds,3 ba,1,890 sqft- House for sale",https://www.zillow.com/homedetails/1528-Salerno-Cir-Weston-FL-33327/42946441_zpid/
"16641 SW 5th Ct, Weston, FL 33326","$430,000","3 bds,2 ba,1,449 sqft- House for sale",https://www.zillow.com/homedetails/16641-SW-5th-Ct-Weston-FL-33326/43136115_zpid/
"304 Racquet Club Rd Apt 105, Weston, FL 33326","$235,000","2 bds,2 ba,1,220 sqft- Condo for sale",https://www.zillow.com/homedetails/304-Racquet-Club-Rd-APT-105-Weston-FL-33326/43135076_zpid/
"3743 Oak Ridge Cir, Weston, FL 33331","$849,000","5 bds,4 ba,3,518 sqft- House for sale",https://www.zillow.com/homedetails/3743-Oak-Ridge-Cir-Weston-FL-33331/43148038_zpid/
"16560 Royal Poinciana Dr, Weston, FL 33326","$540,000","3 bds,2 ba,2,028 sqft- House for sale",https://www.zillow.com/homedetails/16560-Royal-Poinciana-Dr-Weston-FL-33326/43137254_zpid/
"1436 Seagrape Cir, Weston, FL 33326","$359,000","2 bds,2 ba,1,101 sqft- House for sale",https://www.zillow.com/homedetails/1436-Seagrape-Cir-Weston-FL-33326/43144105_zpid/
"3620 Paddock Rd, Weston, FL 33331","$1,999,000","6 bds,6 ba,5,451 sqft- House for sale",https://www.zillow.com/homedetails/3620-Paddock-Rd-Weston-FL-33331/43145751_zpid/
"1091 Deerwood Ln, Weston, FL 33326","$629,000","4 bds,3 ba,2,565 sqft- House for sale",https://www.zillow.com/homedetails/1091-Deerwood-Ln-Weston-FL-33326/43137618_zpid/
"220 E Bayridge Dr, Weston, FL 33326","$575,000","4 bds,3 ba,2,133 sqft- House for sale",https://www.zillow.com/homedetails/220-E-Bayridge-Dr-Weston-FL-33326/43134126_zpid/
"2743 Oakbrook Dr, Weston, FL 33332","$759,000","5 bds,4 ba,2,913 sqft- House for sale",https://www.zillow.com/homedetails/2743-Oakbrook-Dr-Weston-FL-33332/43128953_zpid/
"16512 Botaniko Dr S, Weston, FL 33326","$1,605,000","5 bds,7 ba,4,301 sqft- House for sale",https://www.zillow.com/homedetails/16512-Botaniko-Dr-S-Weston-FL-33326/161770179_zpid/
"2134 Harbor Way, Weston, FL 33326","$560,000","3 bds,2 ba,2,044 sqft- House for sale",https://www.zillow.com/homedetails/2134-Harbor-Way-Weston-FL-33326/43144575_zpid/
"1575 Zenith Way, Weston, FL 33327","$435,000","4 bds,2 ba,1,517 sqft- House for sale",https://www.zillow.com/homedetails/1575-Zenith-Way-Weston-FL-33327/54595471_zpid/
"323 Lakeview Dr Apt 102, Weston, FL 33326","$220,000","2 bds,2 ba,1,225 sqft- Condo for sale",https://www.zillow.com/homedetails/323-Lakeview-Dr-APT-102-Weston-FL-33326/43134981_zpid/
"813 Crestview Cir, Weston, FL 33327","$688,900","5 bds,3 ba,2,882 sqft- House for sale",https://www.zillow.com/homedetails/813-Crestview-Cir-Weston-FL-33327/43127468_zpid/
"990 Nautica Dr, Weston, FL 33327","$1,221,000","5 bds,5 ba,4,985 sqft- House for sale",https://www.zillow.com/homedetails/990-Nautica-Dr-Weston-FL-33327/54596417_zpid/
"3872 Heron Ridge Ln, Weston, FL 33331","$665,000","4 bds,3 ba,2,737 sqft- House for sale",https://www.zillow.com/homedetails/3872-Heron-Ridge-Ln-Weston-FL-33331/43148209_zpid/
"922 Crestview Cir, Weston, FL 33327","$635,000","4 bds,3 ba,2,742 sqft- House for sale",https://www.zillow.com/homedetails/922-Crestview-Cir-Weston-FL-33327/43127553_zpid/
"1582 Veracruz Ln #1582, Fort Lauderdale, FL 33327","$399,000","4 bds,3 ba,1,728 sqft- Townhouse for sale",https://www.zillow.com/homedetails/1582-Veracruz-Ln-1582-Fort-Lauderdale-FL-33327/2076820382_zpid/
"436 Lakeview Dr Apt 205, Weston, FL 33326","$238,000","2 bds,2 ba,1,231 sqft- Condo for sale",https://www.zillow.com/homedetails/436-Lakeview-Dr-APT-205-Weston-FL-33326/43135669_zpid/
"2186 Hacienda Ter #2186, Fort Lauderdale, FL 33327","$312,000","2 bds,3 ba,-- sqft- Townhouse for sale",https://www.zillow.com/homedetails/2186-Hacienda-Ter-2186-Fort-Lauderdale-FL-33327/2075648780_zpid/
"16300 Golf Club Rd Apt 517, Weston, FL 33326","$189,900","2 bds,3 ba,1,273 sqft- Condo for sale",https://www.zillow.com/homedetails/16300-Golf-Club-Rd-APT-517-Weston-FL-33326/43137753_zpid/
"1826 Mariners Ln, Weston, FL 33327","$769,000","5 bds,4 ba,3,337 sqft- House for sale",https://www.zillow.com/homedetails/1826-Mariners-Ln-Weston-FL-33327/54596757_zpid/
"2566 Jardin Pl, Weston, FL 33327","$890,000","4 bds,4 ba,2,280 sqft- House for sale",https://www.zillow.com/homedetails/2566-Jardin-Pl-Weston-FL-33327/43128355_zpid/
"16505 Sapphire St, Weston, FL 33331","$500,000","3 bds,2 ba,1,615 sqft- House for sale",https://www.zillow.com/homedetails/16505-Sapphire-St-Weston-FL-33331/43147688_zpid/
"2464 Provence Ct, Weston, FL 33327","$1,575,000","5 bds,5 ba,4,164 sqft- House for sale",https://www.zillow.com/homedetails/2464-Provence-Ct-Weston-FL-33327/43127759_zpid/
"646 Heritage Dr, Weston, FL 33326","$799,000","5 bds,4 ba,2,940 sqft- House for sale",https://www.zillow.com/homedetails/646-Heritage-Dr-Weston-FL-33326/43125814_zpid/
"779 Verona Lake Dr, Weston, FL 33326","$634,000","5 bds,3 ba,2,748 sqft- House for sale",https://www.zillow.com/homedetails/779-Verona-Lake-Dr-Weston-FL-33326/43134024_zpid/
"150 Lakeview Dr Apt 205, Weston, FL 33326","$224,999","2 bds,2 ba,1,231 sqft- Condo for sale",https://www.zillow.com/homedetails/150-Lakeview-Dr-APT-205-Weston-FL-33326/43134774_zpid/
"571 Stonemont Dr, Weston, FL 33326","$735,000","4 bds,3 ba,3,385 sqft- House for sale",https://www.zillow.com/homedetails/571-Stonemont-Dr-Weston-FL-33326/43133800_zpid/
"16141 Blatt Blvd Apt 404, Weston, FL 33326","$275,000","2 bds,2 ba,1,292 sqft- Condo for sale",https://www.zillow.com/homedetails/16141-Blatt-Blvd-APT-404-Weston-FL-33326/43133168_zpid/
"2510 Jardin Dr, Weston, FL 33327","$849,000","5 bds,3 ba,2,719 sqft- House for sale",https://www.zillow.com/homedetails/2510-Jardin-Dr-Weston-FL-33327/43128190_zpid/
"16091 Blatt Blvd Apt 113, Weston, FL 33326","$250,900","3 bds,2 ba,1,707 sqft- Condo for sale",https://www.zillow.com/homedetails/16091-Blatt-Blvd-APT-113-Weston-FL-33326/43133086_zpid/
"16170 Saddle Ln, Weston, FL 33326","$2,400,000","6 bds,7 ba,5,696 sqft- House for sale",https://www.zillow.com/homedetails/16170-Saddle-Ln-Weston-FL-33326/43131881_zpid/
"16100 Golf Club Rd Apt 210, Weston, FL 33326","$249,000","2 bds,3 ba,-- sqft- Condo for sale",https://www.zillow.com/homedetails/16100-Golf-Club-Rd-APT-210-Weston-FL-33326/43138104_zpid/
"2571 Jardin Way, Weston, FL 33327","$798,888","4 bds,3 ba,2,500 sqft- House for sale",https://www.zillow.com/homedetails/2571-Jardin-Way-Weston-FL-33327/43128380_zpid/
"16581 Blatt Blvd Apt 205, Weston, FL 33326","$230,000","2 bds,2 ba,1,220 sqft- Condo for sale",https://www.zillow.com/homedetails/16581-Blatt-Blvd-APT-205-Weston-FL-33326/43133008_zpid/
"16300 Golf Club Rd Apt 604, Weston, FL 33326","$259,000","2 bds,3 ba,1,500 sqft- Condo for sale",https://www.zillow.com/homedetails/16300-Golf-Club-Rd-APT-604-Weston-FL-33326/43137759_zpid/
"168 Riviera Cir #168, Fort Lauderdale, FL 33326","$265,000","2 bds,3 ba,1,158 sqft- Townhouse for sale",https://www.zillow.com/homedetails/168-Riviera-Cir-168-Fort-Lauderdale-FL-33326/2077054298_zpid/
"16300 Golf Club Rd Apt 514, Weston, FL 33326","$219,500","2 bds,3 ba,1,273 sqft- Condo for sale",https://www.zillow.com/homedetails/16300-Golf-Club-Rd-APT-514-Weston-FL-33326/43137750_zpid/
"938 Marina Dr, Weston, FL 33327","$1,079,000","5 bds,4 ba,4,200 sqft- House for sale",https://www.zillow.com/homedetails/938-Marina-Dr-Weston-FL-33327/54596470_zpid/
